title_clean,year,grade
VAMPIRE IN BROOKLYN,1995,B+
VAMPIRES SUCK,2010,C+
VAN HELSING,2004,B
"VAN, THE",1997,B
VANILLA SKY,2001,D-
"VANISHING, THE",1993,B-
VANTAGE POINT,2008,B-
VARSITY BLUES,1999,B+
VEGAS VACATION,1997,B
VENOM,2018,B+
"VERTICAL LIMIT, THE",2000,B
VERY BAD THINGS,1998,D+
"VERY BRADY SEQUEL, A",1996,B-
"VERY HAROLD & KUMAR 3D CHRISTMAS, A",2011,B
VICE,2018,C+
VICE VERSA,1988,B+
VICTOR FRANKENSTEIN,2015,C
VIEW FROM THE TOP,2003,B-
VILLAGE OF THE DAMNED,1995,C
"VILLAGE, THE",2004,C
VIOLETS ARE BLUE,1986,C+
VIRTUOSITY,1995,B-
VIRUS,1999,C
"VISIT, THE",2015,B-
VOLCANO,1997,B+
"VOW, THE",2012,B
W.,2008,C
WAG THE DOG,1997,B-
WAGONS EAST,1994,C-
WAITING,2005,B
WAITING TO EXHALE,1995,A-
WAKING NED DEVINE,1998,B
"WALK AMONG THE TOMBSTONES, A",2014,B-
WALK HARD: THE DEWEY COX STORY,2007,B-
"WALK IN THE CLOUDS, A",1995,A-
"WALK IN THE WOODS, A",2015,B
WALK THE LINE,2005,A
"WALK TO REMEMBER, A",2002,A
WALKING TALL,2004,B+
WALKING WITH DINOSAURS,2013,B
WALL STREET,1987,B
WALL STREET: MONEY NEVER SLEEPS,2010,B-
WALL-E,2008,A
WALLACE AND GROMIT IN THE CURSE OF THE WERE-RABBIT,2005,B+
WANDERLUST,2012,B-
WANTED,2008,B+
WANTED DEAD OR ALIVE,1987,B
WAR,2007,B
WAR DOGS,2016,B
WAR FOR THE PLANET OF THE APES,2017,A-
WAR HORSE,2011,A-
"WAR OF THE ROSES, THE",1989,B
WAR OF THE WORLDS,2005,B+
"WAR, THE",1994,B+
WARCRAFT,2016,B+
WARM BODIES,2013,B+
WARRIOR,2011,A
"WARRIOR'S WAY, THE",2010,C-
"WATCH, THE",2012,C+
"WATCHER, THE",2000,C-
WATCHMEN,2009,B
WATER FOR ELEPHANTS,2011,A-
"WATER HORSE: LEGEND OF THE DEEP, THE",2007,A-
"WATERBOY, THE",1998,A-
WATERWORLD,1995,B
"WAY OF THE GUN, THE",2000,B-
WAYNE'S WORLD,1992,A-
WAYNE'S WORLD 2,1993,A-
WE ARE MARSHALL,2006,A-
WE ARE YOUR FRIENDS,2015,C+
WE BOUGHT A ZOO,2011,A
WE OWN THE NIGHT,2007,B-
WE WERE SOLDIERS,2002,A
WE'RE BACK A DINOSAUR'S TALE,1993,B
WE'RE NO ANGELS,1989,B-
WE'RE THE MILLERS,2013,A-
"WEATHER MAN, THE",2005,D+
WEDDING CRASHERS,2005,A-
"WEDDING DATE, THE",2005,B
"WEDDING PLANNER, THE",2001,B+
"WEDDING RINGER, THE",2015,A-
"WEDDING SINGER, THE",1998,A-
WEEKEND AT BERNIE'S,1989,B
WEEKEND AT BERNIE'S 2,1993,C+
WELCOME HOME ROSCOE JENKINS,2008,A-
WELCOME HOME ROXY CARMICHAEL,1990,B+
WELCOME TO MARWEN,2018,B-
WELCOME TO MOOSEPORT,2004,C+
WHAT A GIRL WANTS,2003,A
WHAT ABOUT BOB?,1991,B+
WHAT DREAMS MAY COME,1998,B
WHAT HAPPENS IN VEGAS,2008,A-
WHAT LIES BENEATH,2000,B+
WHAT MEN WANT,2019,A-
WHAT PLANET ARE YOU FROM?,2000,C+
WHAT TO EXPECT WHEN YOU'RE EXPECTING,2012,B-
WHAT WOMEN WANT,2000,B+
WHAT'S LOVE GOT TO DO WITH IT,1993,A
WHAT'S THE WORST THAT COULD HAPPEN?,2001,B
WHAT'S YOUR NUMBER?,2011,B
WHATEVER IT TAKES,2000,B
WHEN A MAN LOVES A WOMAN,1994,A-
WHEN A STRANGER CALLS,2006,B-
WHEN HARRY MET SALLY,1989,A+
WHEN IN ROME,2010,B
WHEN THE BOUGH BREAKS,2016,B
WHEN THE GAME STANDS TALL,2014,A-
WHERE THE HEART IS,2000,B+
WHERE THE MONEY IS,2000,B-
WHERE THE WILD THINGS ARE,2009,B+
WHILE YOU WERE SLEEPING,1995,A
WHIPPED,2000,D+
WHISKEY TANGO FOXTROT,2016,B
WHISPERS IN THE DARK,1992,B
WHITE BOY RICK,2018,B
WHITE CHICKS,2004,B+
WHITE FANG 2,1994,A-
WHITE HOUSE DOWN,2013,A-
WHITE MAN'S BURDEN,1995,C
WHITE MEN CAN'T JUMP,1992,B+
WHITE NOISE,2005,C
WHITE OLEANDER,2002,B-
WHITE PALACE,1990,B+
WHITE SANDS,1992,B-
WHITE SQUALL,1996,A-
WHITEOUT,2009,C-
WHO FRAMED ROGER RABBIT,1988,A
WHO'S HARRY CRUMB?,1989,C
WHO'S THAT GIRL,1987,B
"WHOLE NINE YARDS, THE",2000,B
"WHOLE TEN YARDS, THE",2004,C
WHY DO FOOLS FALL IN LOVE?,1998,B
WHY HIM?,2016,B+
"WICKER MAN, THE",2006,F
WICKER PARK,2004,C+
WIDOWS,2018,B
WILD AMERICA,1997,A
WILD BILL,1995,C
WILD HOGS,2007,B+
"WILD LIFE, THE",2016,B-
WILD THINGS,1998,C+
"WILD THORNBERRYS MOVIE, THE",2002,A
WILD WILD WEST,1999,C+
"WILD, THE",2006,B+
WILDCATS,1986,A-
WILLARD,2003,D-
WILLOW,1988,A-
WIMBLEDON,2004,B+
WIN A DATE WITH TAD HAMILTON!,2004,B+
WINCHESTER,2018,B-
WIND,1992,B
WINDTALKERS,2002,B+
WING COMMANDER,1999,D
WINNIE THE POOH,2011,A-
WINTER'S TALE,2014,B
WISDOM,1986,C+
WISE GUYS,1986,C-
WISH UPON,2017,C
"WITCH, THE",2016,C-
"WITCHES OF EASTWICK, THE",1987,B+
WITH HONORS,1994,A-
WITHOUT A CLUE,1988,B+
WITHOUT A PADDLE,2004,B+
WOLF,1994,B
WOLF CREEK,2005,F
"WOLF OF WALL STREET, THE",2013,C
"WOLFMAN, THE",2010,C+
"WOLVERINE, THE",2013,A-
"WOMAN IN BLACK 2: ANGEL OF DEATH, THE",2015,C
"WOMAN IN BLACK, THE",2012,B-
WOMAN ON TOP,2000,C
WON'T BACK DOWN,2012,A-
WONDER,2017,A+
WONDER BOYS,2000,C
WONDER PARK,2019,B+
WONDER WOMAN,2017,A
"WOOD, THE",1999,A-
WOODLAWN,2015,A+
"WORDS, THE",2012,B
WORKING GIRL,1988,A-
"WORLD IS NOT ENOUGH, THE",1999,B+
WORLD TRADE CENTER,2006,A-
WORLD WAR Z,2013,B+
"WORLD'S END, THE",2013,B+
WORTH WINNING,1989,B
WRATH OF THE TITANS,2012,B+
WRECK-IT RALPH,2012,A
"WRINKLE IN TIME, A",2018,B
WRONG TURN,2003,C-
WRONGFULLY ACCUSED,1998,C
WYATT EARP,1994,B+
"X-FILES, THE",1998,A-
"X-FILES: I WANT TO BELIEVE, THE",2008,C
X-MEN,2000,A-
X-MEN ORIGINS: WOLVERINE,2009,B+
X-MEN: APOCALYPSE,2016,A-
X-MEN: DAYS OF FUTURE PAST,2014,A
X-MEN: FIRST CLASS,2011,B+
X-MEN: THE LAST STAND,2006,A-
X2: X-MEN UNITED,2003,A
XXX,2002,A-
XXX: STATE OF THE UNION,2005,B+
XXX: THE RETURN OF XANDER CAGE,2017,A-
YEAR ONE,2009,B-
YES MAN,2008,A-
YESTERDAY,2019,A-
YOGI BEAR,2010,B
YOU AGAIN,2010,B+
YOU DON'T MESS WITH THE ZOHAN,2008,B-
YOU GOT SERVED,2004,A-
YOU'RE NEXT,2013,B-
YOU'VE GOT MAIL,1998,A-
"YOU, ME AND DUPREE",2006,B-
YOUNG GUNS,1988,A-
YOUNG GUNS 2,1990,A-
"YOUNG MESSIAH, THE",2016,A-
YOUR HIGHNESS,2011,C+
"YOURS, MINE, AND OURS",2005,A-
YOUTH IN REVOLT,2010,C+
ZATHURA,2005,B+
ZERO DARK THIRTY,2013,A-
ZERO EFFECT,1998,C+
ZEUS AND ROXANNE,1997,A-
ZODIAC,2007,B-
ZOMBIELAND,2009,A-
ZOOKEEPER,2011,B+
ZOOLANDER,2001,C+
ZOOLANDER 2,2016,C+
ZOOM,2006,B-
ZOOTOPIA,2016,A
FORD V FERRARI,2019,A+
OVERCOMER,2019,A+
HARRIET,2019,A+
RICHARD JEWELL,2019,A
ABOMINABLE,2019,A
DOWNTON ABBEY,2019,A
MALEFICENT: MISTRESS OF EVIL,2019,A
"BEAUTIFUL DAY IN THE NEIGHBORHOOD, A",2019,A
MIDWAY,2019,A
DORA AND THE LOST CITY OF GOLD,2019,A
"ART OF RACING IN THE RAIN, THE",2019,A-
DARK WATERS,2019,A-
ANGEL HAS FALLEN,2019,A-
BLACK AND BLUE,2019,A-
FROZEN II,2019,A-
KNIVES OUT,2019,A-
QUEEN & SLIM,2019,A-
SPIES IN DISGUISE,2019,A-
BLINDED BY THE LIGHT,2019,A-
JUMANJI: THE NEXT LEVEL,2019,A-
JOKER ,2019,B+
DOCTOR SLEEP,2019,B+
21 BRIDGES,2019,B+
ZOMBIELAND: DOUBLE TAP,2019,B+
GOOD BOYS,2019,B+
"ANGRY BIRDS MOVIE 2, THE",2019,B+
STAR WARS: THE RISE OF SKYWALKER,2019,B+
READY OR NOT,2019,B+
GEMINI MAN,2019,B+
IT: CHAPTER 2,2019,B+
TERMINATOR: DARK FATE,2019,B+
PLAYING WITH FIRE,2019,B+
"ADDAMS FAMILY, THE",2019,B+
CHARLIE'S ANGELS ,2019,B+
PLAYMOBIL: THE MOVIE,2019,B+
"GOOD LIAR, THE",2019,B
RAMBO: LAST BLOOD,2019,B
"GOLDFINCH, THE ",2019,B
"WHERE'D YOU GO, BERNADETTE",2019,B
HUSTLERS,2019,B
LAST CHRISTMAS,2019,B-
JEXI,2019,B-
"KITCHEN, THE",2019,B-
ARCTIC DOGS,2019,B-
AD ASTRA ,2019,B-
COUNTDOWN,2019,C+
47 METERS DOWN: UNCAGED,2019,C+
UNCUT GEMS ,2019,C+
CATS,2019,C+
SCARY STORIES TO TELL IN THE DARK,2019,C
BLACK CHRISTMAS,2019,D+
